ai_050_003/cam_04 0000 0001 0002 0003 0004 0005 0006 0007
ai_043_009/cam_00 0027 0028 0030 0032 0033 0034 0035 0036
ai_055_005/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_043_009/cam_01 0014 0025 0037 0038 0040 0043 0056 0058
ai_032_008/cam_00 0080 0076 0043 0041 0022 0019 0017 0016
ai_007_004/cam_02 0017 0019 0049 0053 0055 0058 0073 0094
ai_054_009/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_008_003/cam_00 0043 0069 0070 0072 0078 0084 0086 0088
ai_039_005/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_007_002/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_026_003/cam_00 0057 0059 0060 0062 0065 0066 0067 0068
ai_029_001/cam_01 0032 0034 0036 0038 0039 0040 0041 0042
ai_050_005/cam_06 0048 0050 0051 0053 0055 0056 0057 0058
ai_050_005/cam_04 0085 0087 0089 0090 0091 0092 0093 0094
ai_032_001/cam_00 0039 0041 0042 0044 0046 0047 0048 0049
ai_027_009/cam_01 0036 0038 0039 0040 0041 0042 0043 0044
ai_042_002/cam_00 0083 0089 0091 0092 0093 0094 0095 0096
ai_013_009/cam_00 0063 0065 0067 0069 0071 0072 0073 0074
ai_050_001/cam_00 0033 0035 0036 0038 0040 0046 0047 0048
ai_001_005/cam_00 0078 0082 0084 0086 0087 0088 0089 0090
ai_016_003/cam_00 0030 0032 0035 0037 0038 0043 0044 0045
ai_006_003/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_028_003/cam_00 0057 0061 0063 0065 0066 0067 0068 0069
ai_048_002/cam_03 0074 0068 0055 0052 0040 0017 0014 0000
ai_047_002/cam_00 0048 0049 0051 0053 0055 0056 0057 0058
ai_030_010/cam_00 0036 0038 0040 0041 0042 0043 0044 0045
ai_001_002/cam_03 0022 0023 0028 0030 0036 0037 0038 0039
ai_044_010/cam_02 0006 0008 0010 0013 0014 0015 0016 0017
ai_043_007/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_008_001/cam_01 0031 0032 0034 0036 0037 0038 0039 0040
ai_055_006/cam_01 0099 0098 0096 0094 0090 0086 0046 0023
ai_012_001/cam_00 0078 0080 0082 0083 0084 0085 0086 0087
ai_004_009/cam_00 0039 0041 0043 0045 0046 0047 0048 0049
ai_034_005/cam_01 0009 0011 0015 0017 0018 0019 0020 0021
ai_048_009/cam_03 0022 0024 0026 0028 0029 0030 0031 0032
ai_054_001/cam_00 0042 0045 0046 0047 0048 0049 0050 0051
ai_023_002/cam_01 0098 0095 0093 0091 0089 0088 0043 0038
ai_048_009/cam_00 0002 0004 0030 0032 0043 0049 0050 0052
ai_045_001/cam_00 0063 0065 0067 0069 0071 0072 0073 0074
ai_016_010/cam_00 0087 0088 0090 0092 0094 0095 0096 0097
ai_038_004/cam_00 0027 0032 0034 0035 0036 0037 0038 0039
ai_055_006/cam_00 0075 0076 0077 0078 0079 0080 0081 0082
ai_001_001/cam_00 0001 0005 0028 0070 0072 0094 0097 0099
ai_048_003/cam_03 0021 0023 0025 0029 0030 0031 0032 0033
ai_055_001/cam_00 0021 0022 0023 0024 0025 0026 0028 0030
ai_016_009/cam_00 0055 0057 0059 0061 0063 0064 0065 0066
ai_051_002/cam_00 0068 0061 0059 0055 0053 0043 0041 0017
ai_006_006/cam_00 0083 0085 0086 0088 0090 0091 0092 0093
ai_017_003/cam_00 0020 0022 0028 0034 0040 0041 0043 0050
ai_006_009/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_033_008/cam_00 0010 0013 0014 0016 0018 0020 0021 0022
ai_021_003/cam_00 0009 0011 0013 0014 0015 0017 0019 0021
ai_046_004/cam_00 0023 0025 0026 0071 0074 0076 0095 0097
ai_005_007/cam_00 0039 0040 0042 0044 0046 0047 0048 0049
ai_053_020/cam_00 0063 0065 0067 0069 0071 0072 0073 0074
ai_052_006/cam_00 0066 0067 0069 0071 0072 0073 0074 0075
ai_003_004/cam_01 0004 0006 0009 0010 0011 0012 0013 0014
ai_023_010/cam_00 0073 0075 0077 0083 0084 0085 0086 0087
ai_001_002/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_027_008/cam_00 0063 0066 0068 0070 0072 0073 0074 0075
ai_052_006/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_018_006/cam_01 0039 0041 0043 0046 0047 0048 0049 0050
ai_050_004/cam_00 0033 0035 0037 0038 0039 0040 0041 0042
ai_050_004/cam_02 0000 0004 0005 0006 0007 0008 0009 0010
ai_001_002/cam_00 0086 0084 0083 0079 0077 0070 0068 0062
ai_007_006/cam_01 0006 0008 0010 0013 0014 0015 0016 0017
ai_050_003/cam_00 0006 0008 0011 0013 0014 0015 0016 0017
ai_001_002/cam_01 0021 0024 0026 0059 0060 0061 0062 0066
ai_045_010/cam_00 0070 0071 0072 0074 0076 0077 0078 0079
ai_023_002/cam_01 0027 0029 0031 0032 0033 0034 0035 0036
ai_045_005/cam_00 0084 0085 0087 0089 0091 0092 0093 0094
ai_037_003/cam_00 0081 0082 0084 0086 0088 0089 0090 0091
ai_023_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_047_006/cam_00 0020 0061 0062 0064 0067 0089 0091 0093
ai_052_006/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_023_006/cam_02 0048 0050 0052 0053 0054 0055 0056 0057
ai_051_003/cam_03 0015 0017 0018 0024 0025 0026 0027 0028
ai_055_006/cam_00 0018 0020 0021 0022 0023 0024 0025 0026
ai_016_003/cam_01 0049 0051 0053 0054 0055 0056 0057 0059
ai_039_004/cam_01 0006 0008 0010 0012 0013 0014 0015 0016
ai_052_002/cam_00 0012 0026 0033 0035 0048 0050 0054 0056
ai_021_002/cam_00 0030 0032 0033 0036 0037 0038 0039 0040
ai_053_016/cam_00 0024 0026 0028 0030 0031 0032 0033 0034
ai_047_006/cam_00 0063 0065 0066 0067 0068 0069 0070 0071
ai_048_003/cam_03 0036 0038 0039 0041 0043 0045 0046 0047
ai_007_009/cam_00 0030 0032 0034 0036 0037 0038 0039 0040
ai_001_006/cam_01 0002 0004 0007 0010 0026 0028 0038 0040
ai_046_002/cam_01 0051 0052 0054 0056 0057 0058 0059 0060
ai_004_001/cam_00 0090 0092 0093 0094 0095 0096 0097 0098
ai_034_001/cam_01 0007 0009 0011 0013 0014 0015 0016 0017
ai_030_007/cam_00 0006 0008 0010 0012 0014 0015 0017 0019
ai_027_006/cam_00 0083 0079 0070 0068 0064 0049 0043 0041
ai_035_006/cam_00 0069 0071 0073 0074 0075 0076 0077 0078
ai_041_001/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_029_002/cam_00 0049 0051 0052 0054 0056 0057 0058 0059
ai_023_010/cam_00 0009 0011 0013 0014 0015 0016 0017 0018
ai_004_006/cam_00 0060 0062 0069 0070 0071 0072 0073 0074
ai_055_006/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_007_006/cam_00 0003 0008 0045 0047 0048 0049 0050 0051
ai_016_009/cam_05 0022 0023 0025 0050 0051 0052 0053 0054
ai_009_003/cam_00 0052 0080 0090 0092 0094 0096 0098 0099
ai_038_004/cam_00 0081 0083 0085 0087 0089 0090 0091 0092
ai_007_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_046_003/cam_01 0001 0002 0003 0004 0005 0010 0011 0012
ai_051_005/cam_03 0006 0008 0010 0012 0013 0014 0015 0017
ai_050_005/cam_05 0033 0035 0057 0058 0059 0060 0061 0062
ai_021_008/cam_02 0002 0072 0082 0090 0092 0094 0096 0099
ai_043_010/cam_00 0036 0038 0040 0042 0044 0045 0046 0047
ai_053_006/cam_00 0042 0043 0045 0047 0048 0049 0050 0051
ai_051_003/cam_03 0090 0093 0094 0095 0096 0097 0098 0099
ai_050_004/cam_02 0028 0030 0032 0033 0034 0035 0036 0037
ai_048_002/cam_01 0087 0089 0091 0092 0093 0094 0095 0096
ai_052_010/cam_00 0036 0039 0040 0041 0042 0043 0044 0045
ai_054_001/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_054_001/cam_01 0024 0026 0027 0029 0031 0032 0033 0034
ai_008_004/cam_01 0055 0056 0057 0058 0059 0060 0061 0062
ai_004_005/cam_01 0094 0076 0055 0054 0052 0031 0020 0018
ai_011_006/cam_01 0010 0014 0016 0018 0019 0020 0021 0022
ai_010_009/cam_02 0057 0059 0061 0062 0063 0064 0065 0066
ai_042_005/cam_00 0012 0016 0018 0020 0022 0023 0024 0025
ai_010_008/cam_00 0027 0029 0031 0034 0036 0037 0038 0039
ai_026_001/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_045_001/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_050_005/cam_01 0009 0011 0013 0015 0017 0018 0019 0020
ai_044_006/cam_01 0009 0011 0013 0015 0017 0018 0019 0020
ai_017_010/cam_03 0010 0017 0019 0020 0021 0022 0023 0024
ai_044_010/cam_01 0003 0005 0018 0020 0023 0027 0029 0048
ai_029_003/cam_01 0021 0023 0025 0027 0028 0029 0030 0031
ai_054_010/cam_00 0069 0070 0072 0081 0085 0086 0087 0088
ai_050_004/cam_04 0027 0029 0031 0032 0033 0034 0035 0036
ai_036_003/cam_00 0066 0068 0069 0071 0073 0074 0075 0076
ai_055_005/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_027_009/cam_01 0003 0005 0007 0008 0009 0010 0011 0012
ai_042_001/cam_01 0006 0008 0010 0012 0014 0015 0016 0017
ai_018_010/cam_00 0009 0011 0013 0014 0015 0016 0017 0018
ai_009_004/cam_00 0075 0077 0079 0081 0082 0095 0096 0097
ai_004_001/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_048_004/cam_01 0002 0004 0016 0017 0018 0020 0022 0026
ai_043_002/cam_00 0003 0058 0059 0060 0061 0062 0063 0064
ai_015_009/cam_00 0066 0068 0069 0070 0071 0072 0073 0074
ai_054_003/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_003_001/cam_01 0083 0079 0076 0049 0016 0014 0010 0008
ai_026_013/cam_03 0069 0071 0074 0076 0080 0087 0089 0091
ai_023_010/cam_02 0039 0042 0049 0050 0051 0055 0058 0059
ai_028_002/cam_00 0009 0011 0013 0015 0018 0019 0020 0021
ai_027_008/cam_00 0027 0029 0031 0032 0035 0037 0038 0039
ai_017_004/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_045_001/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_012_004/cam_00 0075 0076 0077 0078 0079 0080 0081 0082
ai_007_004/cam_02 0036 0037 0039 0041 0043 0044 0045 0046
ai_016_003/cam_00 0015 0017 0019 0021 0022 0024 0025 0026
ai_017_005/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_045_004/cam_00 0052 0054 0056 0058 0060 0061 0062 0063
ai_006_002/cam_00 0060 0062 0064 0065 0066 0067 0068 0069
ai_044_007/cam_00 0003 0005 0007 0008 0009 0010 0011 0012
ai_017_010/cam_03 0082 0084 0085 0086 0087 0088 0089 0090
ai_054_004/cam_01 0025 0028 0030 0032 0033 0034 0035 0036
ai_016_009/cam_03 0085 0087 0089 0090 0091 0092 0093 0094
ai_007_009/cam_00 0063 0065 0067 0069 0070 0071 0072 0073
ai_043_003/cam_00 0024 0026 0027 0028 0029 0030 0031 0037
ai_036_003/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_055_003/cam_00 0054 0056 0057 0059 0061 0062 0063 0064
ai_036_003/cam_01 0063 0065 0067 0068 0069 0070 0071 0072
ai_017_009/cam_02 0056 0058 0073 0076 0080 0094 0096 0098
ai_050_005/cam_00 0085 0087 0088 0090 0092 0093 0094 0095
ai_026_003/cam_00 0021 0025 0026 0027 0028 0029 0030 0031
ai_037_005/cam_00 0063 0065 0067 0069 0071 0072 0073 0074
ai_052_002/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_018_008/cam_00 0054 0056 0057 0058 0059 0060 0061 0062
ai_042_003/cam_01 0021 0023 0025 0027 0028 0029 0030 0031
ai_037_004/cam_00 0035 0041 0046 0058 0059 0061 0085 0089
ai_030_007/cam_00 0065 0064 0063 0051 0048 0045 0042 0040
ai_029_005/cam_02 0009 0011 0025 0026 0027 0028 0029 0030
ai_042_003/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_054_010/cam_01 0002 0004 0011 0013 0016 0017 0019 0029
ai_032_001/cam_00 0095 0064 0043 0031 0014 0011 0002 0000
ai_015_008/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_007_010/cam_00 0085 0087 0089 0090 0091 0092 0093 0094
ai_030_010/cam_00 0052 0054 0056 0057 0058 0059 0060 0061
ai_007_005/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_039_004/cam_01 0009 0011 0014 0016 0017 0018 0019 0020
ai_008_004/cam_01 0025 0027 0029 0031 0032 0033 0034 0035
ai_023_006/cam_02 0051 0053 0055 0057 0058 0059 0060 0061
ai_051_002/cam_05 0075 0077 0079 0080 0081 0082 0083 0084
ai_005_004/cam_00 0015 0017 0018 0019 0020 0021 0022 0023
ai_042_001/cam_01 0065 0070 0074 0076 0079 0086 0090 0094
ai_007_007/cam_01 0062 0064 0066 0068 0069 0070 0071 0072
ai_021_009/cam_01 0060 0062 0064 0066 0067 0068 0069 0070
ai_006_008/cam_00 0041 0040 0025 0019 0017 0016 0014 0011
ai_048_003/cam_03 0051 0052 0053 0055 0057 0059 0060 0061
ai_010_009/cam_00 0024 0026 0027 0029 0031 0033 0034 0035
ai_055_002/cam_01 0077 0075 0068 0058 0052 0050 0049 0034
ai_019_003/cam_00 0069 0075 0077 0078 0079 0080 0081 0082
ai_004_008/cam_00 0087 0089 0091 0093 0094 0095 0096 0097
ai_043_009/cam_01 0018 0020 0030 0031 0032 0033 0034 0035
ai_046_007/cam_00 0060 0067 0068 0069 0070 0071 0072 0073
ai_001_006/cam_02 0060 0062 0064 0065 0066 0067 0068 0069
ai_037_005/cam_00 0033 0035 0036 0037 0038 0040 0042 0043
ai_001_006/cam_02 0056 0058 0061 0065 0067 0071 0073 0099
ai_006_009/cam_00 0021 0023 0025 0027 0028 0029 0030 0031
ai_007_008/cam_00 0015 0017 0019 0021 0023 0027 0028 0029
ai_001_006/cam_00 0052 0054 0056 0058 0060 0061 0062 0063
ai_009_005/cam_00 0054 0055 0058 0060 0062 0063 0064 0065
ai_052_002/cam_01 0009 0013 0015 0017 0024 0025 0026 0027
ai_029_003/cam_02 0012 0013 0015 0017 0019 0020 0022 0023
ai_036_001/cam_01 0028 0030 0042 0043 0044 0045 0046 0047
ai_048_009/cam_03 0055 0058 0060 0062 0063 0064 0065 0066
ai_045_005/cam_02 0008 0028 0031 0052 0055 0077 0079 0082
ai_016_010/cam_00 0033 0035 0037 0038 0039 0040 0041 0042
ai_012_009/cam_00 0019 0021 0022 0023 0024 0025 0026 0027
ai_037_010/cam_00 0006 0008 0012 0013 0014 0015 0016 0017
ai_003_004/cam_00 0024 0026 0029 0030 0032 0034 0035 0036
ai_050_004/cam_02 0016 0018 0019 0020 0021 0022 0023 0024
ai_028_004/cam_00 0036 0038 0040 0041 0042 0043 0044 0045
ai_027_004/cam_02 0036 0038 0040 0042 0044 0045 0046 0047
ai_031_001/cam_00 0048 0050 0052 0054 0056 0057 0058 0059
ai_048_003/cam_03 0000 0001 0002 0003 0004 0005 0006 0007
ai_048_007/cam_01 0069 0071 0072 0073 0074 0075 0076 0077
ai_053_001/cam_00 0060 0062 0064 0066 0067 0068 0069 0070
ai_017_006/cam_00 0066 0067 0069 0071 0072 0073 0074 0075
ai_003_006/cam_01 0048 0050 0052 0053 0054 0055 0056 0057
ai_048_003/cam_02 0026 0041 0043 0049 0068 0076 0082 0094
ai_051_002/cam_06 0072 0074 0076 0078 0079 0080 0081 0082
ai_001_005/cam_01 0033 0035 0037 0039 0046 0047 0048 0049
ai_052_006/cam_01 0084 0086 0088 0090 0092 0094 0096 0097
ai_048_003/cam_03 0042 0044 0045 0047 0048 0049 0050 0051
ai_008_004/cam_00 0006 0008 0010 0012 0013 0014 0015 0016
ai_027_009/cam_02 0024 0026 0028 0029 0030 0032 0033 0034
ai_055_006/cam_00 0002 0004 0014 0022 0028 0073 0076 0079
ai_053_012/cam_00 0003 0005 0008 0009 0010 0011 0012 0013
ai_048_002/cam_00 0063 0064 0066 0068 0069 0070 0071 0072
ai_006_004/cam_00 0039 0041 0043 0044 0045 0046 0047 0048
ai_004_007/cam_01 0019 0021 0022 0023 0024 0025 0026 0027
ai_026_019/cam_00 0014 0016 0017 0019 0022 0032 0034 0035
ai_028_009/cam_00 0084 0085 0089 0090 0091 0092 0093 0094
ai_002_003/cam_00 0069 0071 0072 0073 0075 0077 0079 0080
ai_018_010/cam_01 0045 0047 0049 0050 0051 0052 0053 0054
ai_006_001/cam_01 0069 0071 0073 0074 0075 0076 0077 0078
ai_012_004/cam_00 0045 0047 0048 0049 0050 0051 0052 0053
ai_029_005/cam_02 0000 0001 0002 0003 0004 0005 0006 0007
ai_003_002/cam_00 0057 0059 0061 0062 0063 0064 0065 0066
ai_051_002/cam_05 0081 0083 0086 0087 0088 0089 0090 0091
ai_047_006/cam_00 0027 0029 0031 0033 0035 0036 0037 0038
ai_001_005/cam_02 0039 0041 0043 0045 0046 0047 0048 0049
ai_042_003/cam_00 0085 0087 0089 0090 0091 0092 0093 0094
ai_045_001/cam_02 0078 0080 0081 0082 0083 0084 0085 0086
ai_011_006/cam_01 0037 0038 0040 0042 0044 0045 0046 0047
ai_007_009/cam_00 0054 0056 0058 0060 0061 0062 0063 0064
ai_033_005/cam_00 0000 0001 0002 0003 0004 0005 0006 0007
ai_012_004/cam_00 0021 0023 0024 0025 0026 0027 0029 0031
ai_002_005/cam_00 0012 0014 0018 0020 0022 0023 0024 0025
ai_042_004/cam_02 0018 0020 0021 0022 0023 0024 0025 0026
ai_042_004/cam_01 0015 0017 0019 0021 0023 0024 0025 0026
ai_004_005/cam_01 0063 0064 0065 0066 0075 0083 0089 0092
ai_027_007/cam_02 0021 0023 0024 0026 0028 0029 0030 0032
ai_027_009/cam_01 0087 0089 0091 0095 0096 0097 0098 0099
ai_052_010/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_036_003/cam_00 0030 0032 0033 0039 0041 0042 0043 0044
ai_037_010/cam_00 0063 0065 0067 0069 0070 0071 0072 0073
ai_036_001/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_047_004/cam_00 0084 0086 0088 0089 0090 0091 0092 0093
ai_054_003/cam_01 0030 0032 0033 0034 0035 0036 0037 0038
ai_045_005/cam_00 0051 0053 0055 0056 0057 0058 0059 0060
ai_047_004/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_055_007/cam_00 0075 0077 0079 0080 0081 0082 0083 0084
ai_052_006/cam_00 0024 0028 0033 0034 0035 0036 0037 0038
ai_027_006/cam_01 0051 0056 0058 0059 0060 0061 0062 0063
ai_011_008/cam_00 0051 0052 0054 0056 0057 0058 0059 0060
ai_007_009/cam_00 0024 0026 0027 0029 0031 0033 0034 0035
ai_048_009/cam_00 0057 0059 0060 0062 0064 0065 0066 0067
ai_052_008/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_021_010/cam_00 0054 0055 0057 0058 0059 0060 0061 0062
ai_001_002/cam_02 0079 0080 0082 0084 0085 0086 0087 0088
ai_055_003/cam_00 0051 0053 0055 0057 0058 0059 0060 0061
ai_054_006/cam_00 0027 0029 0031 0033 0034 0035 0036 0037
ai_054_001/cam_01 0072 0074 0076 0078 0080 0081 0082 0083
ai_004_007/cam_00 0059 0060 0062 0064 0066 0067 0068 0069
ai_028_009/cam_00 0052 0054 0055 0056 0057 0058 0059 0060
ai_019_003/cam_00 0009 0024 0025 0026 0027 0028 0029 0030
ai_006_001/cam_01 0027 0028 0029 0030 0031 0032 0034 0036
ai_012_010/cam_00 0030 0032 0034 0035 0036 0037 0038 0039
ai_051_003/cam_04 0057 0059 0061 0063 0065 0066 0067 0068
ai_023_010/cam_01 0041 0043 0046 0052 0076 0079 0085 0090
ai_018_007/cam_00 0018 0020 0022 0024 0025 0026 0027 0028
ai_007_010/cam_00 0001 0002 0003 0004 0005 0006 0007 0008
ai_026_003/cam_00 0066 0068 0069 0071 0073 0074 0075 0076
ai_021_009/cam_01 0000 0001 0002 0003 0004 0005 0006 0007
ai_019_009/cam_00 0027 0029 0030 0031 0032 0033 0034 0035
ai_003_006/cam_01 0001 0074 0076 0088 0090 0092 0097 0099
ai_003_009/cam_01 0019 0021 0023 0025 0026 0027 0028 0029
ai_007_006/cam_00 0015 0018 0022 0027 0032 0034 0036 0038
ai_013_004/cam_00 0042 0044 0046 0048 0050 0051 0052 0053
ai_005_007/cam_00 0002 0004 0007 0008 0010 0041 0043 0047
ai_028_002/cam_00 0057 0059 0061 0063 0064 0065 0066 0067
ai_053_016/cam_00 0012 0014 0015 0018 0020 0021 0022 0023
ai_006_003/cam_00 0009 0011 0013 0015 0017 0018 0019 0020
ai_027_007/cam_00 0057 0059 0061 0063 0064 0065 0066 0067
ai_053_020/cam_00 0002 0004 0014 0016 0022 0028 0043 0044
ai_052_006/cam_01 0060 0061 0063 0065 0067 0068 0069 0070
ai_045_001/cam_01 0054 0056 0057 0059 0061 0062 0063 0064
ai_003_009/cam_01 0022 0024 0025 0027 0030 0031 0032 0033
ai_001_009/cam_00 0081 0083 0084 0085 0086 0087 0088 0089
ai_043_008/cam_00 0036 0091 0092 0093 0094 0095 0096 0097
ai_009_001/cam_00 0057 0058 0060 0062 0064 0065 0066 0067
ai_050_001/cam_04 0045 0048 0050 0051 0052 0053 0054 0055
ai_011_005/cam_00 0003 0006 0009 0010 0011 0014 0015 0017
